"course_id","student_index","question","timing","response","uni_id"
15842180,1,"Q6","Pre","4","15842180_1"
15842180,1,"Q10","Pre","2","15842180_1"
15842180,1,"Q11","Pre","3","15842180_1"
15842180,1,"Q12","Pre","2","15842180_1"
15842180,1,"Q13","Pre","5","15842180_1"
15842180,1,"Q14","Pre","4","15842180_1"
15842180,1,"Q6","Post","3","15842180_1"
15842180,1,"Q10","Post","2","15842180_1"
15842180,1,"Q11","Post","3","15842180_1"
15842180,1,"Q12","Post","2","15842180_1"
15842180,1,"Q13","Post","5","15842180_1"
15842180,1,"Q14","Post","2","15842180_1"
15842180,2,"Q6","Pre","2","15842180_2"
15842180,2,"Q10","Pre","2","15842180_2"
15842180,2,"Q11","Pre","4","15842180_2"
15842180,2,"Q12","Pre","2","15842180_2"
15842180,2,"Q13","Pre","3","15842180_2"
15842180,2,"Q14","Pre","2","15842180_2"
15842180,2,"Q6","Post","3","15842180_2"
15842180,2,"Q10","Post","3","15842180_2"
15842180,2,"Q11","Post","3","15842180_2"
15842180,2,"Q12","Post","3","15842180_2"
15842180,2,"Q13","Post","2","15842180_2"
15842180,2,"Q14","Post","4","15842180_2"
15842180,3,"Q6","Pre","3","15842180_3"
15842180,3,"Q10","Pre","2","15842180_3"
15842180,3,"Q11","Pre","2","15842180_3"
15842180,3,"Q12","Pre","2","15842180_3"
15842180,3,"Q13","Pre","4","15842180_3"
15842180,3,"Q14","Pre","4","15842180_3"
15842180,3,"Q6","Post","3","15842180_3"
15842180,3,"Q10","Post","2","15842180_3"
15842180,3,"Q11","Post","3","15842180_3"
15842180,3,"Q12","Post","2","15842180_3"
15842180,3,"Q13","Post","4","15842180_3"
15842180,3,"Q14","Post","2","15842180_3"
15842180,4,"Q6","Pre","2","15842180_4"
15842180,4,"Q10","Pre","2","15842180_4"
15842180,4,"Q11","Pre","3","15842180_4"
15842180,4,"Q12","Pre","2","15842180_4"
15842180,4,"Q13","Pre","5","15842180_4"
15842180,4,"Q14","Pre","1","15842180_4"
15842180,4,"Q6","Post","3","15842180_4"
15842180,4,"Q10","Post","2","15842180_4"
15842180,4,"Q11","Post","3","15842180_4"
15842180,4,"Q12","Post","2","15842180_4"
15842180,4,"Q13","Post","1","15842180_4"
15842180,4,"Q14","Post","4","15842180_4"
15842180,5,"Q6","Pre","3","15842180_5"
15842180,5,"Q10","Pre","2","15842180_5"
15842180,5,"Q11","Pre","2","15842180_5"
15842180,5,"Q12","Pre","2","15842180_5"
15842180,5,"Q13","Pre","4","15842180_5"
15842180,5,"Q14","Pre","2","15842180_5"
15842180,5,"Q6","Post","3","15842180_5"
15842180,5,"Q10","Post","2","15842180_5"
