"course_id","student_index","question","uni_id","name","IDK","visual_representation","numeric_summary","index","output","probability","multiple_predictions","text_statement","icon","bar_graph","stated","explain","num_correct","color","timing"
82294927,48,8,"82294927_48","Post",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Post"
82294927,156,8,"82294927_156","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
15842180,14,8,"15842180_14","Post",0,1,1,0,0,0,0,0,0,0,0,0,2,0,"Post"
82294927,79,8,"82294927_79","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,224,8,"82294927_224","Post",0,0,0,1,1,0,0,0,0,0,0,1,2,0,"Post"
82294927,80,8,"82294927_80","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
15842180,13,8,"15842180_13","Post",0,1,0,0,0,1,0,0,0,0,0,0,2,0,"Post"
82294927,23,8,"82294927_23","Post",0,0,0,0,0,1,0,0,0,0,0,0,1,1,"Post"
82294927,167,8,"82294927_167","Post",0,0,0,1,1,0,0,0,0,0,1,0,2,0,"Post"
82294927,195,8,"82294927_195","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,5,8,"82294927_5","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,123,8,"82294927_123","Post",0,1,0,0,0,1,0,0,0,0,0,0,2,0,"Post"
82294927,198,8,"82294927_198","Post",0,0,0,1,1,0,0,0,0,0,1,0,2,0,"Post"
82294927,74,8,"82294927_74","Post",0,0,0,1,1,0,0,0,0,0,1,0,2,0,"Post"
82294927,25,8,"82294927_25","Post",0,1,1,0,0,0,0,0,0,0,0,0,2,0,"Post"
82294927,120,8,"82294927_120","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,105,8,"82294927_105","Post",0,0,0,1,1,0,0,0,0,0,1,0,2,0,"Post"
15842180,18,8,"15842180_18","Post",0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Post"
82294927,226,8,"82294927_226","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,100,8,"82294927_100","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,225,8,"82294927_225","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,157,8,"82294927_157","Post",0,0,1,0,0,1,0,0,0,0,0,0,2,0,"Post"
82294927,156,8,"82294927_156","Post",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Post"
82294927,6,8,"82294927_6","Pre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,15,8,"82294927_15","Post",0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Post"
82294927,177,8,"82294927_177","Post",0,0,1,0,0,0,1,0,0,0,0,0,2,0,"Post"
82294927,68,8,"82294927_68","Post",0,0,1,0,0,1,0,0,0,0,0,0,2,0,"Post"
82294927,227,8,"82294927_227","Post",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Post"
75116996,8,8,"75116996_8","Pre",0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Pre"
82294927,48,8,"82294927_48","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82410553,5,8,"82410553_5","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,207,8,"82294927_207","Post",0,1,0,0,0,0,0,0,0,0,0,0,1,0,"Post"
82294927,38,8,"82294927_38","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,13,8,"82294927_13","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,181,8,"82294927_181","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,197,8,"82294927_197","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,165,8,"82294927_165","Post",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Post"
82294927,57,8,"82294927_57","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
15842180,19,8,"15842180_19","Post",0,0,0,1,1,0,0,0,0,0,1,0,2,0,"Post"
82294927,36,8,"82294927_36","Post",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Post"
82294927,203,8,"82294927_203","Post",0,0,1,0,0,0,0,1,0,0,0,0,2,0,"Post"
82294927,207,8,"82294927_207","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
75116996,11,8,"75116996_11","Post",0,1,0,0,0,0,0,0,0,1,0,0,2,0,"Post"
82294927,181,8,"82294927_181","Post",0,1,0,0,0,1,0,0,0,0,0,0,2,0,"Post"
82294927,197,8,"82294927_197","Post",0,2,0,0,0,0,0,0,0,0,0,0,2,1,"Post"
82294927,63,8,"82294927_63","Post",0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Post"
82294927,216,8,"82294927_216","Pre",0,1,1,0,0,0,0,0,0,0,0,0,2,0,"Pre"
82294927,7,8,"82294927_7","Post",0,1,0,0,0,0,0,0,0,0,0,0,1,1,"Post"
82294927,174,8,"82294927_174","Post",0,0,0,0,1,0,0,0,0,0,1,0,1,1,"Post"
15842180,2,8,"15842180_2","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,147,8,"82294927_147","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,83,8,"82294927_83","Pre",0,0,2,0,0,0,0,0,0,0,0,0,2,0,"Pre"
15842180,4,8,"15842180_4","Post",0,0,1,0,0,0,1,0,0,0,0,0,2,0,"Post"
82294927,36,8,"82294927_36","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,10,8,"82294927_10","Pre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pre"
82294927,51,8,"82294927_51","Post",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Post"
