"Question","pvalue","test","effsize","mean_pre","mean_post","sd_pre","sd_post","n"
"Q7",0,1606,0.12,0.82,1.13,0.79,0.69,104
"Q8",0,238,1.09,0.4,2.52,1.02,1.79,120
