"course_id","student_index","timing","question","value"
82294927,18,"Post","Policy",0
82294927,18,"Post","IDK",0
82294927,19,"Pre","Predict",1
82294927,19,"Pre","Decision",0
82294927,19,"Pre","Understanding",0
82294927,19,"Pre","Manage",0
82294927,19,"Pre","Policy",0
82294927,19,"Pre","IDK",0
82294927,19,"Post","Predict",1
82294927,19,"Post","Decision",0
82294927,19,"Post","Understanding",0
82294927,19,"Post","Manage",1
82294927,19,"Post","Policy",0
82294927,19,"Post","IDK",0
82294927,20,"Pre","Predict",1
82294927,20,"Pre","Decision",0
82294927,20,"Pre","Understanding",0
82294927,20,"Pre","Manage",0
82294927,20,"Pre","Policy",0
82294927,20,"Pre","IDK",0
82294927,20,"Post","Predict",1
82294927,20,"Post","Decision",0
82294927,20,"Post","Understanding",0
82294927,20,"Post","Manage",0
82294927,20,"Post","Policy",0
82294927,20,"Post","IDK",0
82294927,21,"Pre","Predict",0
82294927,21,"Pre","Decision",0
82294927,21,"Pre","Understanding",1
82294927,21,"Pre","Manage",0
82294927,21,"Pre","Policy",0
82294927,21,"Pre","IDK",0
82294927,21,"Post","Predict",0
82294927,21,"Post","Decision",0
82294927,21,"Post","Understanding",1
82294927,21,"Post","Manage",0
82294927,21,"Post","Policy",0
82294927,21,"Post","IDK",0
82294927,22,"Pre","Predict",0
82294927,22,"Pre","Decision",0
82294927,22,"Pre","Understanding",0
82294927,22,"Pre","Manage",0
82294927,22,"Pre","Policy",0
82294927,22,"Pre","IDK",1
82294927,22,"Post","Predict",0
82294927,22,"Post","Decision",0
82294927,22,"Post","Understanding",0
82294927,22,"Post","Manage",0
82294927,22,"Post","Policy",0
82294927,22,"Post","IDK",1
82294927,23,"Pre","Predict",0
82294927,23,"Pre","Decision",0
82294927,23,"Pre","Understanding",1
82294927,23,"Pre","Manage",1
82294927,23,"Pre","Policy",0
82294927,23,"Pre","IDK",0
82294927,23,"Post","Predict",1
82294927,23,"Post","Decision",0
82294927,23,"Post","Understanding",0
82294927,23,"Post","Manage",0
82294927,23,"Post","Policy",0
82294927,23,"Post","IDK",0
82294927,24,"Pre","Predict",0
82294927,24,"Pre","Decision",0
82294927,24,"Pre","Understanding",0
82294927,24,"Pre","Manage",0
82294927,24,"Pre","Policy",0
82294927,24,"Pre","IDK",1
82294927,24,"Post","Predict",0
82294927,24,"Post","Decision",1
82294927,24,"Post","Understanding",0
82294927,24,"Post","Manage",0
82294927,24,"Post","Policy",0
82294927,24,"Post","IDK",0
82294927,25,"Pre","Predict",1
82294927,25,"Pre","Decision",0
82294927,25,"Pre","Understanding",0
82294927,25,"Pre","Manage",0
82294927,25,"Pre","Policy",0
82294927,25,"Pre","IDK",0
82294927,25,"Post","Predict",0
82294927,25,"Post","Decision",1
82294927,25,"Post","Understanding",0
82294927,25,"Post","Manage",0
82294927,25,"Post","Policy",0
82294927,25,"Post","IDK",0
82294927,26,"Pre","Predict",0
82294927,26,"Pre","Decision",0
82294927,26,"Pre","Understanding",0
82294927,26,"Pre","Manage",0
82294927,26,"Pre","Policy",0
82294927,26,"Pre","IDK",0
82294927,26,"Post","Predict",1
82294927,26,"Post","Decision",0
82294927,26,"Post","Understanding",1
82294927,26,"Post","Manage",0
82294927,26,"Post","Policy",0
82294927,26,"Post","IDK",0
82294927,27,"Pre","Predict",0
82294927,27,"Pre","Decision",0
82294927,27,"Pre","Understanding",0
82294927,27,"Pre","Manage",0
82294927,27,"Pre","Policy",0
82294927,27,"Pre","IDK",1
82294927,27,"Post","Predict",1
82294927,27,"Post","Decision",0
82294927,27,"Post","Understanding",0
82294927,27,"Post","Manage",0
82294927,27,"Post","Policy",0
82294927,27,"Post","IDK",0
82294927,28,"Pre","Predict",1
82294927,28,"Pre","Decision",0
82294927,28,"Pre","Understanding",0
82294927,28,"Pre","Manage",1
82294927,28,"Pre","Policy",0
82294927,28,"Pre","IDK",0
82294927,28,"Post","Predict",0
82294927,28,"Post","Decision",1
82294927,28,"Post","Understanding",0
82294927,28,"Post","Manage",0
82294927,28,"Post","Policy",0
82294927,28,"Post","IDK",0
82294927,29,"Pre","Predict",0
82294927,29,"Pre","Decision",0
82294927,29,"Pre","Understanding",0
82294927,29,"Pre","Manage",0
82294927,29,"Pre","Policy",0
82294927,29,"Pre","IDK",1
82294927,29,"Post","Predict",0
82294927,29,"Post","Decision",0
82294927,29,"Post","Understanding",0
82294927,29,"Post","Manage",0
82294927,29,"Post","Policy",0
82294927,29,"Post","IDK",0
82294927,30,"Pre","Predict",0
82294927,30,"Pre","Decision",0
82294927,30,"Pre","Understanding",0
82294927,30,"Pre","Manage",0
82294927,30,"Pre","Policy",0
82294927,30,"Pre","IDK",0
82294927,30,"Post","Predict",1
82294927,30,"Post","Decision",0
82294927,30,"Post","Understanding",0
82294927,30,"Post","Manage",0
82294927,30,"Post","Policy",0
82294927,30,"Post","IDK",0
82294927,31,"Pre","Predict",0
82294927,31,"Pre","Decision",0
82294927,31,"Pre","Understanding",0
82294927,31,"Pre","Manage",0
82294927,31,"Pre","Policy",0
82294927,31,"Pre","IDK",1
82294927,31,"Post","Predict",1
82294927,31,"Post","Decision",0
82294927,31,"Post","Understanding",0
82294927,31,"Post","Manage",0
82294927,31,"Post","Policy",0
82294927,31,"Post","IDK",0
82294927,32,"Pre","Predict",0
82294927,32,"Pre","Decision",0
82294927,32,"Pre","Understanding",0
82294927,32,"Pre","Manage",0
82294927,32,"Pre","Policy",0
82294927,32,"Pre","IDK",1
82294927,32,"Post","Predict",0
82294927,32,"Post","Decision",0
82294927,32,"Post","Understanding",0
82294927,32,"Post","Manage",0
