Question,Two-tailed p-value,Test Statistic,Effect Size,Pre-Module Mean (±1 SD),Post-Module Mean (±1 SD),n
Q7,<0.001,1606,0.12,0.82 ± 0.79,1.13 ± 0.69,208
Q8,<0.001,238,1.09,0.4 ± 1.02,2.52 ± 1.79,240
