"question","pvalue","test","effsize","pct_pre","pct_post","n"
"Q10",0.164,1628,0.09,55,60,240
"Q11",0,845.5,0.34,54,75,240
"Q12",0.336,1716,0.06,50,53,240
"Q13",0.001,1751,0.22,33,47,240
"Q14",0,1633.5,0.39,33,61,240
"Q15",0.279,2392,0.07,46,51,221
"Q6",0,725,0.67,28,80,240
